custid,debtinc,creddebt,othdebt,preloan
807,11.45,2.14,4.02,1
808,16.59,1.39,2.47,2
809,11.84,1.99,4.66,2
810,10.36,1.46,4.39,1
811,8.42,3.15,2.45,2
812,13.25,3.18,4.9,2
813,8.88,1.12,1.89,1
814,23.41,3.85,8.51,1
815,11.57,4.66,4.46,2
816,9.81,2.39,2.33,1
817,6.66,4.1,3.2,2
818,6,1.36,3.1,2
819,17.15,1.72,4.08,2
820,8.3,1.54,1.69,1
821,13.51,2.2,2.93,1
822,11.09,0.71,2.07,1
823,38.59,4.64,9.51,2
824,16.5,2.48,2.92,1
825,5.49,2.05,2.16,2
826,7.43,3.34,2.63,2
827,14.83,2.08,8.49,2
828,2.49,1.14,1.39,2
829,11.55,0.93,2.3,2
830,8.12,3.61,3.9,2
831,6.88,1.11,1.52,1
832,13.13,3.86,3.22,1
833,18.57,0.56,5.99,1
834,17.9,3.7,7.55,2
835,9.69,0.68,2.33,1
836,3.79,2.59,1.96,1
837,15.6,2.76,3.32,2
838,9.18,2.68,1.69,2
839,7.01,0.49,1.78,1
840,10.54,1.74,2.04,1
841,17.23,2.7,2.33,1
842,21.22,5.41,6.39,2
843,7.92,3.56,5.82,2
844,10.56,1.03,3.46,1
845,6.07,1.05,4.11,2
846,6.31,0.63,2.53,1
847,15.63,0.83,3.67,2
848,13.51,3.96,1.89,1
849,9.8,2.47,2.29,1
850,8.35,1.81,3.11,1
851,19.19,4.04,9.42,1
852,7.63,3.47,2.52,1
853,16.32,3.05,2.69,2
854,8.61,3.18,1.86,1
855,15.84,3.09,3.97,1
856,23.27,4.58,4.92,2
857,14.61,3.07,3.42,2
858,18.12,4.34,3.09,1
859,18.33,1.68,4.42,2
860,5.59,1.56,1.97,2
861,13.12,2.41,1.15,2
862,10.87,3.17,3.67,2
863,11.33,1.58,3.04,1
864,8.38,2.41,2.03,2
865,12.83,2.73,2.63,1
866,23.16,7.96,13.93,2
867,15.94,4.4,3.09,1
868,9.81,1.76,1.64,1
869,1.82,1.17,0.63,1
870,5.57,2.56,2.44,2
871,10.66,1.69,3.08,1
872,11.83,1.96,3.24,1
873,7.18,2.22,1.53,1
874,12.22,4.26,4.57,2
875,11.48,0.67,1.71,1
876,13.11,1.87,2.57,1
877,20.86,1,4.34,1
878,11.08,1.15,3.73,1
879,13.79,2.58,2.33,1
880,26.63,3.97,7.82,2
881,8.05,1.57,3,2
882,7.85,1.19,3.43,2
883,3.74,3.74,2.19,1
884,6.94,1.57,2.32,1
885,26.85,1.89,6.83,2
886,11.33,2.87,2.67,2
887,19.37,5.52,3.89,2
888,19.78,6.95,5.69,2
889,13.67,2.58,2.15,1
890,19.74,6.23,8.53,1
891,16.05,2.88,3.47,2
892,14.4,3.46,2.66,2
893,14.2,1.5,2.65,2
894,3.41,0.64,2.22,1
895,8.81,0.48,4.5,1
896,4.59,2.6,2.71,1
897,10.15,1.34,1.88,1
898,7.42,1.49,1.16,1
899,8.33,1.55,3.57,1
900,25.24,5.45,4.66,1
901,8.38,3.02,2.33,2
902,6.49,3.11,5.99,2
903,12.19,3.02,4.96,1
904,10.17,3.29,3.56,1
905,8.21,3.08,3.98,1
906,8.86,4.79,5.42,1
907,8.46,3.02,1.52,1
908,1.5,3.08,2.1,1
909,8.8,2.54,4.24,1
910,5.29,0.99,1.76,2
911,12.46,3.99,14.38,1
912,13.98,3.34,3.63,1
913,7.91,1.89,2.26,1
914,10.14,3.34,2.2,1
915,11.98,6.36,4.16,1
916,11.08,3.51,3.61,1
917,10.7,3.54,3.25,1
918,16.57,5.83,16.04,1
919,7.9,0.54,1.8,2
920,11.65,2.4,5.3,2
921,6.48,0.13,1.68,2
922,15.4,1.82,2.48,2
923,12.33,6.21,10.53,2
924,24.81,3.37,12.67,2
925,25.37,4.83,9.65,1
926,12.2,2.57,2.5,1
927,21.77,6.48,5.11,1
928,5.11,3.05,1.23,1
929,8.13,0.53,1.94,2
930,19.17,1.04,3.19,2
931,17.26,4,8.15,2
932,8.78,0.9,3.14,1
933,1.69,1.81,0.84,1
934,6.45,1.78,2.5,2
935,1.09,1.84,0.85,2
936,7.49,1.2,2.28,2
937,13.75,0.81,3.09,1
938,12.59,0.27,3.21,2
939,6.1,3.14,2.2,2
940,21.12,4.16,6.75,2
941,22.85,2.58,3.61,2
942,11.45,3.23,3.5,2
943,8.16,1.13,2.83,1
944,16.93,12.28,8.04,2
945,17.13,2.02,4.62,2
946,23.97,2.76,6.44,2
947,3.44,0.79,0.63,1
948,17.85,1.21,2.88,1
949,18.69,2.26,6.8,2
950,16.68,7.58,8.3,1
951,12.31,3.96,12.82,1
952,22.23,4.79,9.06,1
953,4.53,4.26,0.84,1
954,12.28,3.29,2.93,1
955,11.76,0.79,2.43,2
956,10.64,3.37,5.76,1
957,7.69,1.37,2.31,2
958,17.79,2.34,5.35,2
959,4.84,3.79,2.74,1
960,11.5,1.35,3.09,2
961,28.79,3.28,6.82,2
962,7.04,2.67,2.56,1
963,15.41,2.38,2.06,2
964,23.27,2.88,3.83,1
965,5.94,2.12,1.78,1
966,6.48,3.09,2.73,2
967,9.2,1.72,1.92,1
968,15.87,3.49,6.01,2
969,17.79,2.29,1.98,2
970,7.27,2.72,0.76,2
971,9.62,4.7,5.29,1
972,4.15,2.12,0.36,1
973,14.36,1.04,2.09,1
974,24.59,1.81,7.72,2
975,9.17,1.47,3.85,2
976,13.65,1.51,2.28,1
977,16.13,2.55,2.27,2
978,5.47,1.04,2.12,2
979,8.04,2.52,0.98,1
980,12.82,2.19,3.47,2
981,7.1,2.86,2.6,2
982,25.87,4.84,5.94,1
983,15.03,1.25,5.46,2
984,13.54,1.65,2.2,2
985,18.56,2.67,3.04,2
986,9.5,2.11,2.88,2
987,9.12,3.41,1.62,1
988,27.14,3.54,5.67,2
989,7.42,0.51,1.52,2
990,8.25,2.82,3.37,1
991,4.47,1.97,3.11,1
992,7.2,1.05,3.16,2
993,3.07,3.73,4.62,2
994,4.57,2.09,0.57,2
995,14.67,4.04,2.39,1
996,10.11,1.31,1.95,2
997,10.62,3.43,2.88,2
998,20.02,2.66,2.79,1
999,8.24,1.09,2,2
1000,4.53,1.4,0.98,1
1001,30.13,21.21,12.59,2
1002,11.06,3.54,4.58,2
1003,10.33,2.08,3.48,1
1004,7.97,0.63,2.25,1
1005,9.25,4.42,3.81,2
1006,1.44,2.26,0.82,1
1007,18.07,0.63,7.23,1
1008,23.82,4.15,10.27,1
1009,7.54,2.07,2.47,2
1010,13.14,3.59,2.07,2
1011,30.21,11.53,8.27,1
1012,16.45,6.3,2.73,1
1013,15.24,2.04,2.25,2
1014,12.41,2.26,4.01,2
1015,16.03,1.76,2.39,1
1016,19.81,0.92,2.95,1
1017,23.2,6.41,7.74,1
1018,10.68,2.62,1.23,1
1019,9.24,2.2,3.24,2
1020,5.91,1.18,2.65,2
1021,5.72,1.83,2.59,2
1022,14.73,0.4,5.97,2
1023,3.84,1.62,1.25,1
1024,8.96,3.59,1.65,1
1025,18.74,4.01,5.73,2
1026,28.17,16.29,18.82,1
1027,21.62,3.84,14.52,2
1028,4.78,1.03,1.72,1
1029,11.61,0.67,3.59,2
1030,13.43,1.79,2.7,1
1031,1.43,2.14,0.97,2
1032,3.8,0.6,2.47,1
1033,5.6,0.93,1.89,2
1034,15.25,2.19,5.13,2
1035,19.01,7.81,9.35,2
1036,4.2,0.35,2.86,2
1037,16.29,2.7,5.76,1
1038,12.46,2.91,2.79,1
1039,24.18,8.31,4.19,2
1040,16.3,1,5.12,2
1041,16.35,4.74,2.23,1
1042,10.6,2.05,1.02,2
1043,6.64,1.86,2.73,1
1044,19.41,8.54,27.43,1
1045,13.93,5.65,5.73,2
1046,17.86,2.84,4.29,2
1047,8.18,1.33,0.66,2
1048,13.59,1.42,3.53,2
1049,4.28,0.93,0.31,1
1050,5.71,0.67,2.54,2
1051,4.27,1.51,1.92,1
1052,22.02,0.99,2.48,1
1053,5.53,0.47,2.32,1
1054,11.1,3.42,5.06,2
1055,16.31,6.9,5.8,2
1056,15.21,1.37,9.38,1
1057,25,4.63,4.67,2
1058,18.74,2.21,2.69,2
1059,27.79,4.03,9.51,1
1060,9.11,3.88,1.26,2
1061,7.14,0.16,2.36,1
1062,4.73,2.12,0.37,2
1063,18.68,4.07,2.81,1
1064,9.06,1.54,2.6,2
1065,17.76,1.7,1.15,1
1066,6.13,2.28,1.2,1
1067,11.33,1.49,2.53,2
1068,3,0.5,1.21,1
1069,13.85,7.06,2.72,1
1070,4.34,2.4,1.58,2
1071,9.65,2.78,3.83,2
1072,9.81,1.96,2.07,2
1073,7.72,2,1.08,1
1074,43.14,17.48,15.85,1
1075,3.22,1.53,1.7,1
1076,3.8,0.51,1.51,1
1077,10.16,2.1,2.67,1
1078,6.44,1.15,1.13,1
1079,9.01,1.83,2.57,1
1080,6.88,2.09,1.41,2
1081,9.28,1.98,2.94,1
1082,35.28,7.31,10.79,2
1083,18.3,4.63,4.8,2
1084,4.76,2.22,0.7,1
1085,11.65,1.97,5.27,1
1086,25.06,1.62,5.92,2
1087,7.46,3.12,1.38,2
1088,3.82,1.02,5.34,2
1089,8.88,2.73,1.8,1
1090,10.43,2.53,4.27,1
1091,7.37,2.64,3.44,2
1092,10.47,1.11,1.67,2
1093,6.95,3.1,2.48,2
1094,20.86,9.2,8.14,1
1095,22.12,4.18,9.16,2
1096,15.47,0.71,5.86,1
1097,20.16,2.05,5.41,2
1098,14.56,5.43,3.07,1
1099,13.83,3.29,2.27,1
1100,9.93,0.9,2.26,1
1101,12.23,3.28,3.03,2
1102,1.76,0.45,0.66,1
1103,11.07,2.05,2.74,1
1104,32.83,4.27,16.1,1
1105,18.18,2.29,5.1,1
1106,14.28,4.07,7,2
1107,10.61,2.38,2.91,2
1108,8.6,2.86,4.95,2
1109,7.27,3.11, ,2
1110,8.92,0.5,2.53,1
1111,6.89,2.58,1.45,2
1112,14.49,3.68,9.47,1
1113,6.42,2.66,1.7,1
1114,15.72,3.67,1.62,2
1115,25.33,2.83,4.84,2
1116,7.77,1.68,3.81,1
1117,5.62,0.39,1.87,2
1118,7.58,0.91,2.93,1
1119,28.73,6.55,9.55,2
1120,32.44,3.34,13.87,1
1121,15.65,2.63,3.43,2
1122,4.3,1.09,3.51,2
1123,10.5,2.18,1.57,2
1124,7.23,0.97,2.64,1
1125,20.5,3.69,6.34,2
1126,2.53,2.08,2.41,2
1127,5.88,1.98,0.88,1
1128,3.31,1.45,1.8,2
1129,7.6,1.44,1.79,2
1130,24.26,9.4,9.15,1
1131,28.34,10.1,9.32,2
1132,8.53,2.18,2.07,1
1133,9.14,2.81,4.88,2
1134,15.64,3.95,3.24,1
1135,22.68,7.25,6.65,2
1136,8.09,1.17,3.31,2
1137,2.89,1.44,0.25,2
1138,7.88,4.42,8.55,2
1139,7.02,2.58,0.91,1
1140,6.86,0.93,2.72,2
1141,16.88,5.82,10.59,1
1142,13.11,2.97,3.54,2
1143,21.92,4.6,11.96,1
1144,32.84,4.43,4.95,2
1145,7.6,18.98,14.03,2
1146,17.54,5.24,4.56,2
1147,5.53,1.12,1.17,1
1148,15.11,2.1,2.57,2
1149,16.25,4.13,3.98,1
1150,20.43,1.83,3.39,1
1151,4.96,2.72,5.16,1
1152,14.23,1.46,2.48,1
1153,16.89,5.43,4.17,1
1154,9.39,3.06,2.63,1
1155,19.43,3.09,3.96,2
1156,15.84,1.97,3.36,1
1157,9.23,3.07,10.87,2
1158,19.13,2.6,3.16,1
1159,15.1,3.7,2.76,2
1160,4.73,2.19,0.84,2
1161,4.05,0.59,1.71,2
1162,13.82,2.37,3.07,2
1163,4.08,1.66,1.91,1
1164,8.99,1.28,2.06,1
1165,26.75,2.78,4.94,1
1166,24.97,2.39,4.14,1
1167,19.91,16.89,23.35,2
1168,6.94,2.51,2.19,2
1169,21.4,3.73,10.02,1
1170,7.9,0.36,2.53,1
1171,20.08,3.15,3.4,1
1172,8.28,0.7,3.03,1
1173,14.49,2.22,3.43,1
1174,7.67,1.95,1.7,1
1175,4,0.86,2.54,1
1176,12.56,2.49,5.52,2
1177,18.29,0.57,4.26,1
1178,13.03,2.97,3.63,2
1179,12.47,1.46,18.81,2
1180,21.39,6.02,5.65,2
1181,9.5,1.71,1.91,1
1182,10.67,3.49,3.54,1
1183,9.26,3.75,3.22,2
1184,7.83,1.12,2.23,2
1185,14.53,5.95,7.32,1
1186,9.49,2.26,2.51,1
1187,7.02,2.61,1.04,1
1188,21.13,6.87,7.25,2
1189,18.65,2.83,2.4,1
1190,5.62,1.73,1.81,2
1191,5.27,0.4,1.96,2
1192,28.08,2.84,21.9,1
1193,36.8,2.53,8.83,1
1194,17.01,7.42,4.91,2
1195,18.29,3.31,3.11,1
1196,11.34,1.45,1.35,1
1197,9.62,3.86,5.16,2
1198,15.8,2.69,10.61,1
1199,22.7,2.57,3.25,1
1200,22.81,4.54,3.55,1
1201,12.26,0.72,1.68,2
1202,19,3.27,6.29,1
1203,10.04,5.63,12.18,1
1204,14.83,1.4,3.22,1
1205,20.45,1.63,3.89,1
1206,22.37,3.94,4.67,2
1207,7.18,0.71,4.7,2
1208,3.53,1.94,1.59,2
1209,19.47,2.54,2.39,1
1210,12.2,1.39,6.37,1
1211,22.51,3.15,3.65,2
1212,13.44,4.31,3.57,1
1213,7.12,3.25,2.43,1
1214,12.3,0.89,1.36,1
1215,12.12,2.59,3.38,1
1216,16.28,3.41,8.26,1
1217,14.74,6.36,8.23,1
1218,5.33,0.6,2.11,2
1219,7.83,1.51,1.12,2
1220,3.08,2.17,1.01,2
1221,16.42,2.01,5.31,2
1222,7.76,3.09,1.96,1
1223,6.11,1.21,1.55,2
1224,5.63,3.95,2.05,2
1225,10.28,3.48,1.54,1
1226,5.14,2.72,2.43,2
1227,6.71,2.44,4.27,2
1228,12.6,1.83,2.07,2
1229,12.43,5.32,16.19,2
1230,27.26,3.74,3.23,2
1231,15.44,2.21,3.51,2
1232,16.68,4.84,2.91,1
1233,17.82,1.02,4.1,1
1234,11.88,0.65,2.88,1
1235,10.37,1.9,2.5,2
1236,15.85,5.65,5.11,1
1237,4.76,2.03,1.01,1
1238,15.62,3.9,5.75,1
1239,11.62,3.21,6.12,1
1240,17.83,1.12,2.93,2
1241,10.77,2.13,4.06,2
1242,9.19,2.14,2.49,2
1243,23.58,4.83,10.93,1
1244,30.82,3.1,4.84,1
1245,8.32,0.43,2.53,2
1246,13.19,2.65,3.07,1
1247,13.66,4.13,7.41,2
1248,19.92,3.93,18.66,2
1249,22.47,2.48,5.25,2
1250,26.87,6.25,19.5,2
1251,5.33,2.9,0.71,2
1252,10.64,2.37,2.67,1
1253,19.45,5.62,7.08,2
1254,10.9,1.68,4.6,2
1255,9.62,3.04,3.45,1
1256,7.31,2.62,2.97,2
1257,6.48,2.69,1.68,1
1258,11.43,7.47,12.21,1
1259,5.47,0.21,2,1
1260,17.17,7.48,3.45,2
1261,6.64,0.42,1.74,1
1262,8.3,4.4,2.03,1
1263,5.35,2.53,5.32,1
1264,4,2.53,1.08,2
1265,14.81,6.92,6.48,1
1266,19.95,5.96,6.5,1
1267,8.78,2.29,4.07,2
1268,4.92,1.44,2.6,2
1269,22.63,4.51,5.79,2
1270,8.58,3.31,6.77,2
1271,13.89,3.4,2.89,2
1272,5.71,0.41,0.66,1
1273,17.98,0.95,13.5,2
1274,11.55,3.03,1.81,2
1275,31.47,6.95,1.2,2
1276,13.53,2.31,2.68,2
1277,7.04,1.97,2.05,2
1278,8.55,2.44,6.11,2
1279,11.95,2.37,3.46,1
1280,14.37,2.51,2.4,2
1281,5.18,3.39,2.63,1
1282,6.83,1.7,1.15,1
1283,9.97,4.78,2.03,2
1284,37.66,7.8,12.12,1
1285,36.7,3.73,4.3,1
1286,6.92,1.21,2.65,2
1287,10.37,2.3,4.21,1
1288,15.91,2.46,8.41,2
1289,7.69,2.81,2.09,1
1290,8.34,1.94,3,1
1291,17.01,7.17,1.33,1
1292,12.37,0.53,1.66,1
1293,19.43,2.89,6.39,1
1294,14.52,2.99,3.32,2
1295,17.46,3.7,1.13,2
1296,9.4,2.77,2.98,1
1297,9.19,2.84,3.63,1
1298,18.36,5.11,1.82,2
1299,14.3,1.62,2.73,1
1300,29.23,6.41,6.14,2
1301,8.31,2.61,3.57,1
1302,14.29,8.79,5.8,1
1303,9.87,5.62,3.34,1
1304,6.24,0.45,2.32,1
1305,28.7,3.02,6.66,2
1306,9.62,4.32,10.01,1
1307,26.26,4.87,4.44,2
1308,6.15,2.06,1.67,1
1309,10.16,1.87,3.59,1
1310,3.93,1.8,2.87,2
1311,20.14,2.45,4.66,2
1312,17.23,4,3.21,1
1313,18.13,2.47,7.51,1
1314,6.04,0.95,3.93,2
1315,11.22,3.17,4.34,1
1316,7.97,3.64,2.97,2
1317,5.32,0.73,3.11,2
1318,9.66,1.25,0.94,2
1319,12.91,3.92,1.55,2
1320,18.36,5.72,6.63,1
1321,9.17,2.78,1.56,2
1322,7.11,2.66,3,2
1323,9.33,4.37,7.72,2
1324,11.55,0.66,3.53,1
1325,9.2,3.29,2.02,1
1326,4.47,4.49,5.19,1
1327,13.81,4.37,3.89,2
1328,10.73,2.88,1.9,1
1329,24.8,3.5,3.91,2
1330,20.79,4.41,3.59,2
1331,9.21,2.83,4.2,2
1332,14.2,6.45,8.97,1
1333,24.31,15.39,18.91,1
1334,13.4,1.25,2.22,2
1335,5.86,1.89,4.83,1
1336,15.29,6.75,7.23,2
1337,15.02,3.83,1.88,1
1338,31.86,5,9.94,2
1339,10.22,1.04,2.43,1
1340,11.95,2.49,2.95,1
1341,6.17,2.19,2.05,2
1342,9.03,2.87,1.99,2
1343,11.85,2.47,1.73,1
1344,5.06,2.77,2.04,1
1345,12.67,6.1,4.41,2
1346,6.42,2.43,1.16,1
1347,9.94,2.35,2.19,1
1348,8.44,1.75,3.09,2
1349,3.66,0.64,1.74,2
1350,22.65,3.91,4.54,1
1351,6.86,2.6,2.59,2
1352,16.5,2.22,1.68,2
1353,9.81,1.08,4.03,1
1354,9.71,1.65,3.09,1
1355,36.17,4.06,9.87,2
1356,6.76,1.05,1.32,2
1357,10.74,1.77,1.59,2
1358,12.2,3.3,5.85,1
1359,15.24,0.7,2.82,1
1360,19.86,3.78,7.7,1
1361,7.64,2.02,2.12,1
1362,3.24,1.26,0.26,2
1363,5.92,2.3,2.93,1
1364,8.87,3.85,3.27,1
1365,12.02,7.25,4.59,2
1366,5.83,3.29,4.65,2
1367,18.19,5.18,13.33,1
1368,1.66,0.47,1.65,1
1369,5.23,2.96,1.3,1
1370,13.43,1.86,5.19,1
1371,8.3,1.92,1.63,1
1372,17.09,2.76,3.27,1
1373,1.3,0.73,1.74,1
1374,14.13,1.59,2.48,2
1375,5.25,1.29,2.25,2
1376,6.43,2.6,5.37,1
1377,12.87,1.97,4.35,2
1378,6.1,1.67,1.08,2
1379,13.66,1.74,4.41,1
1380,3.04,0.33,2.62,1
1381,28.35,4.15,7.26,1
1382,9.86,2.57,2.41,2
1383,12.37,2.01,5.11,2
1384,10.89,0.21,1.51,2
1385,11.72,2.74,4.73,1
1386,17.22,3.05,4.6,2
1387,9.76,3.84,1.46,1
1388,12.46,5.36,1.44,1
1389,11.93,4.09,6.52,1
1390,11.19,1.22,1.94,1
1391,10.02,0.81,2.06,2
1392,10.58,11.22,9.24,1
1393,29.1,2.87,5.48,2
1394,8.58,2.36,1.83,1
1395,15.29,5.29,7.38,1
1396,5.58,2.28,2.08,2
1397,14.73,3.3,3.2,1
1398,12.17,3.26,2.43,1
1399,8.78,4.19,4.4,1
1400,16.31,3.22,4.8,1
1401,11.36,14.17,5.39,2
1402,17.8,2.59,4.18,2
1403,10.43,2.54,2.62,1
1404,5.27,4.28,1.93,1
1405,18.97,1.96,3.79,2
1406,13.45,2.07,3,2
1407,34.26,6.68,16.68,2
1408,7.17,3.01,1.51,1
1409,25.12,2.58,5.08,2
1410,21.66,5.22,3.45,1
1411,2.79,1.24,1.97,1
1412,8.4,0.82,2.37,2
1413,11.67,4.74,3.62,1
1414,16.96,1.87,4.05,1
1415,10.64,5.04,6.33,1
1416,12.82,3.71,4,1
1417,17.22,3.51,3.87,1
1418,12.56,3.51,4.34,2
1419,8,0.81,4.01,1
1420,3.7,0.79,0.48,2
1421,6.18,3.02,2.16,1
1422,8.17,3.14,3.03,1
1423,11.95,0.73,2.28,2
1424,11.57,1.12,2.35,1
1425,18.38,2.41,2.87,2
1426,18.46,3.17,5.26,1
1427,9.11,2.86,5.48,1
1428,18.68,1.65,11.47,1
1429,18.61,4.73,9.53,1
1430,15.65,1.6,5.95,2
1431,3.64,0.43,0.4,2
1432,15.14,2.47,2.6,2
1433,9.03,2.54,2.67,2
1434,14.55,1.86,3.26,2
1435,3.35,3.03,1.28,1
1436,26.03,7.61,6.89,2
1437,19.16,1.58,2.25,1
1438,16.93,5.4,5.39,1
1439,17.75,4.31,4.12,2
1440,6.74,1.31,2.86,1
1441,11.36,3.1,2.07,1
1442,10.3,2.06,4.44,2
1443,8.82,3.06,2.64,2
1444,17.36,3.87,5.38,2
1445,7.83,3.21,0.99,1
1446,11.29,0.84,2.75,1
1447,9.04,1.19,1.48,2
1448,11.04,0.23,3.28,1
1449,16.34,3.3,2.76,2
1450,9.67,0.28,4.48,2
1451,14.56,3.42,4.1,1
1452,15.9,3,2.55,1
1453,13.06,3.93,3.84,1
1454,5.75,1.98,2.08,2
1455,13.46,1.9,2.38,1
1456,17.7,2.36,2.07,1
1457,9.05,2.55,3.07,1
1458,4.07,2.35,1.73,2
1459,7.14,4.39,1.74,2
1460,13.15,2.76,7.61,2
1461,6.19,0.08,2.35,1
1462,11.28,4.26,2.2,1
1463,16.39,0.89,3.14,2
1464,10.73,3.64,2.24,2
1465,8.44,1.75,1.25,2
1466,24.47,9.94,9.79,1
1467,7.69,1.15,1.35,2
1468,9.32,3.83,2.97,1
1469,10.71,2.11,2.18,1
1470,20.98,3.23,3.95,1
1471,23.5,1.43,4.61,1
1472,28.04,3.96,6.21,2
1473,13.9,5.79,8.31,2
1474,11.97,2.03,1.56,2
1475,6.01,3,2.4,1
1476,28.33,5.17,8.48,2
1477,4.92,0.13,1.34,2
1478,7.53,1.16,1.51,2
1479,7.54,0.91,1.63,1
1480,4.03,3.6,1.78,2
1481,15.41,4.58,2.33,2
1482,18.51,4.96,6.45,2
1483,24.37,2.96,4.69,1
1484,15.44,3.52,2.3,1
1485,7.89,2.31,2.09,2
1486,21.68,2.6,7.93,2
1487,14.51,5.8,2.14,2
1488,27.97,3.84,7.66,1
1489,6.37,0.55,1.29,1
1490,31.42,2.65,2.73,1
1491,8.39,0.12,2.4,2
1492,14.46,2.99,2.34,2
1493,12.71,3.25,4.99,2
1494,10.77,1.09,0.93,2
1495,27.69,2.12,3.33,1
1496,6.31,1.43,2.98,1
1497,7.23,1.42,2.02,1
1498,12.21,2.69,4.78,1
1499,7.32,2.53,2.5,2
1500,9.34,3.39,2.4,2
1501,4.01,1.91,2.35,2
1502,9.19,0.28,3.94,1
1503,8.5,1.3,1.2,1
1504,3.71,3.8,4.25,2
1505,25.86,11.6,9.71,1
1506,6.82,3.06,2.27,2
1507,11.52,3.12,4.1,2
1508,13.67,2.7,2.25,1
1509,11.69,2.52,3.85,2
1510,10.55,1.42,3.59,2
1511,8.03,2.91,2.29,1
1512,9.25,0.44,4.41,1
1513,8.45,2.04,1.7,2
1514,23.3,4.93,8.64,1
1515,13.27,3.25,4.79,1
1516,5.58,3.12,1.24,2
1517,8.38,3.43,2.26,2
1518,6.23,2.56,3.2,2
1519,16.19,1.25,2.52,1
1520,10.69,2.36,1.42,2
1521,10.8,2.19,3.75,2
1522,8.54,0.49,1.83,2
1523,35.67,2.71,8.62,2
1524,17.34,3.56,2.93,1
1525,3.02,0.37,1.87,2
1526,8.69,2.88,2.78,1
1527,15.43,2.29,9.04,2
1528,5.07,1.51,0.84,1
1529,12.2,3.28,3.68,1
1530,8.57,3.53,3.34,1
1531,5.22,2.84,0.99,1
1532,17.76,3.2,3.19,2
1533,18.22,1.3,6.45,2
1534,16.55,2.8,7.28,1
1535,6.31,3.03,1.76,1
1536,2.29,1.25,2.04,1
1537,14.03,3.02,3.08,2
1538,7.69,2.16,0.83,2
1539,11.24,2.37,1.68,1
1540,10.19,2.65,2.97,2
1541,20.53,3.06,2.62,2
1542,18.26,5.51,6.96,2
1543,6.51,2.51,6.25,2
1544,10.58,2.28,3.14,2
1545,8.83,3.12,4.83,2
1546,5.2,0.68,2.04,1
1547,13.53,2.64,3.7,1
1548,11.91,3.31,1.7,2
1549,13.32,1.34,2.98,2
1550,9.6,3.53,2.03,1
1551,19.36,1.84,8.47,1
1552,6.6,3.53,2.66,1
1553,16.63,4.17,4.12,2
1554,9.71,0.62,1.98,2
1555,15.57,3.01,3.65,1
1556,19.95,4.28,5.78,2
1557,13.39,3.71,3.39,1
1558,15.08,1.76,2.85,1
1559,17.83,2.25,3.28,2
1560,9.04,1.43,1.12,2
1561,12.04,2.86,1.3,1
1562,13.56,3.33,4.08,2
1563,7.8,0.4,3,2
1564,7.68,1.22,1.56,2
1565,17.4,3.16,3.56,1
1566,23.64,7.21,13.31,2
1567,18.29,4.25,2.93,1
1568,10.88,3.41,2.7,2
1569,5.42,2.69,1.18,2
1570,4.14,3.06,1.82,2
1571,11.76,0.76,1.86,2
1572,11.77,0.49,3.74,2
1573,9.52,2.54,1.05,1
1574,10.42,6.59,4.24,1
1575,10.99,3.35,2.83,2
1576,12.55,0.91,2.62,2
1577,20.24,2.65,4.91,1
1578,9.55,2.2,3.66,1
1579,11.18,0.8,2.7,2
1580,24.79,4.71,6.1,2
1581,9.92,1.82,2.18,1
1582,9.41,2.44,3.73,2
1583,6.1,1.38,2.87,2
1584,9.55,1.35,2.76,2
1585,27.9,2.85,5.81,2
1586,8.33,3.66,1.9,2
1587,19.54,3.48,5.39,2
